Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized)
p3555,0.219481,1.44767,2.59085,0.401632,-1.72705,-1.07125,1.04327,-0.0189174
p3556,-0.887599,0.172737,-0.220398,-0.612775,-0.650242,-1.24174,-0.132699,-0.841017
p3557,0.951715,-1.23333,0.0327477,-0.259199,-0.283933,-0.304714,-0.523037,-0.0717664
p3558,0.437828,1.26478,4.11396,-2.99626,1.42058,-1.31542,0.743922,0.97342
p3559,-0.446366,-0.514013,-0.27088,0.66568,0.191245,-0.604837,0.864266,0.432451
p356,0.781649,-1.08975,0.056547,0.133682,-0.301261,-0.211185,0.513188,-0.161332
p3560,-0.0937231,-0.261733,-0.341506,0.0299055,-0.355407,0.479786,0.110408,-0.983264
p3561,0.908149,-0.60805,-0.331289,0.382701,0.409407,-1.18507,-0.387111,-0.61767
p3562,-0.0117389,-0.967473,-0.18856,1.52841,-0.339446,-0.773583,0.709939,1.44139
p3563,0.914432,1.46809,2.19519,0.681239,-2.08461,2.89521,1.37965,-1.26629
p3564,0.102503,0.407116,-0.996056,-0.0523695,-1.13046,0.627166,-0.0811777,-0.120173
p3565,0.166002,-0.719531,0.181388,-0.53601,-0.286526,0.177565,-0.383438,-0.0901519
p3566,-0.223508,-0.413493,0.132172,1.01101,-1.17286,0.15556,-0.508614,1.25908
p3567,-0.545134,0.00324918,-0.101803,-0.329345,0.791742,-0.849069,0.397091,0.762603
p3568,0.552536,1.21527,2.62438,-2.3105,1.73695,-0.875513,-2.60325,0.806231
p3569,1.27838,0.542958,-1.1144,-0.552658,0.0810741,-0.924823,0.57358,-0.777189
p357,0.88693,-0.572853,0.0428631,-0.26322,-0.762498,-0.312865,-0.648834,0.646272
p3570,-1.22322,0.0678411,-0.298205,-0.35561,0.967554,0.712339,-1.13896,0.694145
p3571,0.0292035,-0.722247,0.131235,-0.0484862,0.286633,-0.308099,0.486431,-0.239401
p3572,1.07268,2.33739,1.49102,-0.757785,0.80405,1.2326,-2.2257,-1.03343
p3573,-0.522745,-0.351406,-0.440367,-1.08574,-0.181427,0.0250366,-0.286008,0.182124
p3574,-0.809226,0.00597755,0.233611,0.331995,0.00723296,-1.11241,0.560112,-1.22347
p3575,-0.65535,0.0859151,-0.49169,0.0172427,-0.746005,0.0371227,-0.607888,-0.399249
p3576,-0.482415,-0.525868,0.0897496,0.266944,-0.0201023,-0.462834,0.3695,0.27572
p3577,-0.410202,-0.729554,0.327287,-0.642417,-0.0979912,-0.0809671,-0.988686,0.705732
p3578,-0.758521,0.123563,0.428241,-1.14739,-0.527878,-0.824069,-2.85237,0.337109
p3579,-0.361816,2.42318,0.853054,1.27877,-2.12724,2.6283,-1.0144,-0.626809
p358,0.816006,0.885599,1.84023,-0.116254,1.59032,-2.79064,1.23934,-1.60547
p3580,-0.951946,-0.178488,0.252611,0.611231,0.550157,-0.568865,0.624818,1.08981
p3581,-1.03547,1.02493,-0.971014,0.74948,-0.612523,0.870934,-0.674345,0.488435
p3582,-0.579738,0.558934,-0.052623,-0.746005,0.796825,-0.964443,-1.25539,0.943703
p3583,0.186407,-1.11631,0.026225,-0.00380712,-0.0636338,-0.118604,-0.770058,0.649761
p3584,0.133276,-0.440104,-0.403086,-0.538154,-0.244014,-0.183619,-0.335947,0.465251
p3585,-1.27437,-0.442453,-0.121683,0.301427,-0.358781,-0.113655,-0.134558,-0.924309
p3586,3.02984,0.311316,2.51283,-1.17982,-1.3754,-0.434198,-0.470357,-0.301119
p3587,-0.837976,0.849362,-0.545035,0.655216,-0.78815,0.294302,1.24751,0.286908
p3588,1.25345,-0.474464,-0.444192,-0.194196,-0.465381,-1.12204,-0.511897,0.775404
p3589,1.06199,0.74949,1.33072,2.15077,-0.463444,0.555994,0.0506711,0.799167
p359,1.30027,-0.870239,-0.583074,-0.410546,-0.736807,-0.126467,0.170878,0.124986
p3590,0.531676,0.0223384,-0.0841773,-0.0130168,0.533609,-1.27197,0.4215,0.940722
p3591,1.51507,3.07005,0.621294,1.61782,2.90407,-1.99212,-3.78947,-5.74952
p3592,0.891897,1.6054,1.23072,2.7832,-0.290828,3.66369,-1.18072,2.09626
p3593,0.549025,-0.256299,-0.702304,-0.111131,-0.397004,-0.207807,-0.589233,-0.63336
p3594,0.951184,-0.800673,-0.234617,-0.218751,0.585765,-0.0721847,0.190659,-0.26305
p3595,0.897713,-1.01222,-0.0613611,-0.645739,0.313035,-0.0037753,-0.0262485,0.123107
p3596,-0.0590601,0.446465,-1.51466,1.06438,0.753602,-0.676075,1.14642,-0.149692
p3597,1.29054,0.0779051,-1.28394,-0.0136598,0.402614,0.750096,0.29133,-0.357946
p3598,0.0352989,-0.823991,-0.173008,-0.019424,-0.19334,0.064664,-0.449757,-0.660974
p3599,-0.315534,-0.814414,0.211944,0.116285,0.312622,0.587681,0.223967,0.0417835
p36,-0.188431,1.95147,-1.61183,-1.15514,1.24129,1.84238,1.25338,-0.742411
p360,-0.543893,-0.555686,-0.049808,0.690621,-0.510076,-0.245094,1.52794,-0.662449
p3600,-1.02095,-0.135856,0.309772,-0.796727,0.236489,-0.818018,-0.710442,-0.359502
p3601,1.52167,0.9341,1.49269,2.18081,-2.58685,0.921098,0.560336,0.106918
p3602,-1.0195,-0.70323,0.262244,0.640188,-0.312478,-0.0708227,0.478593,0.489089
p3603,0.0619083,3.96372,2.61064,-2.21599,0.709522,-2.84955,2.79117,-0.700322
p3604,2.77753,-0.251656,0.639153,-0.28625,-0.57797,-0.515389,0.0692589,1.26958
p3605,1.13554,1.83199,2.92964,2.70558,2.26072,0.613332,-4.30611,-0.445446
p3606,0.44652,0.822106,3.18625,-0.692027,3.58307,1.11432,2.23157,1.6446
p3607,-0.702933,0.818315,-0.0409643,0.471636,0.628881,2.89506,-0.969482,1.93042
p3608,0.117116,-0.457855,0.392493,0.743269,-0.653939,0.0565432,-0.358517,-0.317969
p3609,1.74898,-1.00578,-0.155708,-0.493494,0.291072,-0.233929,0.293393,-0.608973
p361,-0.968252,-0.771219,0.406844,-0.689541,-0.61646,-0.241562,0.46567,-0.344544
p3610,-0.140857,-0.150263,-0.393053,-0.0752239,1.1257,0.152243,0.15463,1.69639
p3611,-0.74502,2.11951,2.49856,-0.535834,2.84435,0.136443,1.09935,0.409069
p3612,-0.88131,-0.015923,-0.806734,0.0232609,0.19776,-0.0770218,-0.7226,0.318334
p3613,-0.565193,1.38461,1.43866,-2.06685,0.672151,-0.857727,-1.83124,0.498532
p3614,-0.00700424,-0.456646,-0.162217,-0.125995,0.092274,-0.204417,-0.149996,0.34509
p3615,-2.32242,0.900479,1.16241,2.65912,0.874515,-0.493352,1.08265,1.71431
p3616,-0.666965,-0.533422,-0.0266955,-0.033402,-0.196868,0.462881,0.101017,-0.289232
p3617,0.661786,-1.035,0.459464,-0.776014,0.0636843,-0.0374634,-1.03274,0.543048
p3618,-1.03721,-0.0918738,-0.624502,-0.41934,-0.163925,0.593074,-0.237784,-0.836561
p3619,-0.996583,1.03655,3.20329,-1.94334,-1.32417,-0.075759,-2.02145,1.00592
p362,-0.118385,0.333268,-1.27158,-0.0198316,0.261021,-0.0194069,0.410846,-0.127676
p3620,-0.556944,-0.665107,0.661622,0.551116,-0.247529,-0.633957,0.351885,0.938039
p3621,3.4706,0.64732,2.37654,0.159649,-1.67471,-2.56631,-1.3864,2.17474
p3622,0.534734,-0.729794,0.517427,0.532239,-0.069014,-0.045622,0.742347,-0.0868437
p3623,-1.51704,1.57322,-1.2916,-0.369447,-0.259587,-1.53228,1.0746,-0.62783
p3624,-0.293706,-0.404655,0.546683,0.731211,-0.00708829,0.599899,-0.474337,-0.237557
p3625,1.08975,-1.16584,1.22349,-0.369884,0.37631,0.563206,0.295127,1.23953
p3626,1.73939,-0.411619,0.725259,1.31249,1.19483,0.281456,0.677251,1.63564
p3627,-1.06897,0.177172,-0.000761564,-0.24967,-0.774819,1.1238,-0.556751,0.00719757
p3628,-1.24743,0.649282,3.40149,0.188407,-1.04635,1.18348,-0.521325,1.06068
p3629,-1.23136,-0.328209,-0.298668,-0.156548,-0.130143,-0.097898,0.216684,0.0610908
p363,0.146893,0.0265182,-0.713627,-0.0312829,-0.127031,-1.19039,0.295258,0.303282
p3630,0.719537,0.338769,-0.769433,0.775052,-0.915668,-2.00072,1.00734,-0.185215
p3631,1.29506,-0.0506458,0.987647,1.57066,-0.424208,-2.57212,0.60379,-1.4758
p3632,-0.812472,1.28676,-2.01503,1.51458,-0.103636,-0.0325656,2.08791,-0.651753
p3633,-1.30581,-0.318201,-0.303577,0.277504,0.242557,0.463218,-0.180299,-0.847426
p3634,0.266505,-0.680502,0.158071,0.310217,0.320551,0.515092,-0.0484509,-0.546096
p3635,1.66357,-0.470659,-0.231092,-0.1582,0.913823,-0.152047,-0.18165,0.348729
p3636,-1.70862,-0.429741,-0.0912655,0.612589,-0.756692,-0.897859,0.00980318,-0.167066
p3637,0.186123,-0.36641,-0.536325,0.533759,-0.0322387,0.410957,0.84854,0.597362
p3638,0.609102,-0.131078,-0.585349,0.0172244,-0.438583,0.452612,-0.0545658,-0.204981
p3639,0.607285,-0.45694,-0.478084,0.329592,0.152504,0.14841,-0.409436,-0.806319
p364,-0.0240026,-0.467896,-0.249506,-0.440096,-0.537538,1.20071,0.0781826,-0.831334
p3640,0.287355,1.5899,1.51018,2.45286,-1.32885,1.631,-2.26699,0.509935
p3641,-1.78239,0.0933016,-0.359505,-0.167868,0.0980619,-0.000899873,0.566142,-0.265753
p3642,-0.176818,-0.894942,-0.161008,-0.174076,0.254134,-0.156254,-0.0822885,0.186209
p3643,0.0749255,0.292901,-0.87434,-0.269501,-0.690429,-1.26434,-0.663276,0.0715188
p3644,-0.597147,1.71222,0.165716,-1.19808,-1.9156,-0.117058,-1.59308,-0.784538
p3645,0.486042,-0.248942,-0.714555,0.209381,0.125091,0.308338,0.735609,-1.0829
p3646,-0.844522,-0.139185,0.0149283,0.729709,-0.510235,0.706723,-0.0381648,0.597489
p3647,0.728696,-0.943066,0.444204,-0.407385,-1.76866,-2.27609,-0.992548,0.510847
p3648,0.391115,-0.215342,1.29229,1.8023,0.551808,-1.48674,2.89031,2.56195
p3649,1.85889,-0.0996853,-0.822955,-0.736259,0.543573,-1.03177,-0.797449,0.286492
p365,0.931391,-0.784825,0.917735,-0.00369391,-0.197842,0.511844,0.841081,-0.469634
p3650,-1.77444,1.96662,3.31254,-2.72531,2.18617,-2.21132,-0.391482,0.00849877
p3651,-1.06434,-0.533222,0.277874,0.185099,0.00669556,0.323549,-0.0556833,-0.70376
p3652,1.26089,-0.704795,0.761253,-0.879611,-0.231598,-0.902465,0.278777,-0.51391
p3653,-0.626366,-0.113463,0.269196,0.356654,0.639994,-1.06366,-0.171071,0.516916
p3654,-1.0562,0.488491,2.79363,-0.0687574,0.46354,2.29445,0.193921,-0.0804652
p3655,0.0647368,-0.359448,-0.339757,0.638052,-0.512172,-0.283242,0.916243,0.706986
p3656,-0.114602,-0.900148,0.468247,-0.101801,-0.047195,-0.0521661,0.483207,-1.0792
p3657,-0.893393,-0.706909,0.0236023,0.220407,-0.318527,-0.0267131,-0.0282999,-0.352369
p3658,1.84,2.16521,2.87744,0.554121,-3.13927,-3.34315,-1.26921,3.01852
p3659,1.08967,-0.992952,0.658491,-1.00825,-0.180222,0.83531,1.91668,-0.172475
p366,-0.420299,-0.974664,0.268268,0.413894,-0.178015,-0.284824,0.139063,-0.141605
p3660,-1.34272,-0.390428,0.342128,-0.342572,-0.833193,-0.422064,-0.27894,-0.156961
p3661,1.06676,-1.3089,0.27155,-0.00939085,0.316457,0.48647,0.628015,0.334348
p3662,-0.1287,-0.255892,-0.620286,0.123089,0.661338,0.430036,-0.260189,0.562083
p3663,0.351366,-0.532233,-0.180602,0.818756,0.372407,0.834984,1.55731,1.06092
p3664,0.711001,0.0112535,-0.814905,-0.514886,-0.980821,0.93331,0.239985,-0.670698
p3665,0.299944,-0.0617762,-0.245528,-0.203146,-0.242738,1.12376,-0.370766,0.87603
p3666,-1.6124,0.158932,-0.766196,-0.454535,0.472969,-0.379917,-0.243774,-0.020319
p3667,-2.1949,0.199275,0.480354,-0.00624168,-0.755057,0.309807,0.216684,-0.0965573
p3668,0.344954,0.277184,0.30663,2.71406,-1.43317,0.520363,0.882637,0.861174
p3669,1.89148,1.7542,1.44014,1.27133,-0.0868298,1.78442,-1.15201,-0.694004
p367,1.48203,2.95754,-1.41161,-1.33798,2.91043,0.678551,-1.37809,-4.11993
p3670,-1.69327,0.659828,-0.970265,0.0584529,-0.632116,0.484667,-0.138071,-0.532464
p3671,-0.557324,1.10095,1.09669,-2.13842,-0.15722,-1.1923,-1.61598,0.530098
p3672,-0.195019,0.864175,2.69585,0.426023,-0.27982,3.27835,0.986946,0.820077
p3673,0.795328,-0.587001,0.0975561,-1.29109,0.0572124,0.445883,-0.241086,0.100885
p3674,0.648213,0.11284,0.650403,-0.17205,-1.06815,-2.06254,0.512746,-0.7104
p3675,-0.813772,-0.54375,0.0936654,-0.0893347,1.10417,0.0712526,-0.188993,0.304305
p3676,0.211139,3.29737,-3.74357,0.194226,0.551652,1.42791,-0.339164,1.6643
p3677,0.638631,-0.559395,1.05436,0.0183153,0.138219,0.51343,0.542555,-0.826455
p3678,0.956316,-0.00808333,-0.195341,0.420271,-1.40982,-0.308668,0.723052,0.301812
p3679,-0.0807686,1.16661,-1.72839,-0.622719,0.441597,0.796694,0.0838614,-0.0691931
p368,0.91596,0.765902,2.71918,-2.40078,0.246443,1.5237,0.352693,0.672788
p3680,-1.94217,0.0928221,-0.248063,1.24736,0.141908,-1.35251,1.08218,0.125157
p3681,1.24076,-0.24895,-0.163508,-1.47858,1.5108,1.03832,-1.1916,-0.252426
p3682,-0.407694,1.54513,-1.16999,0.10081,-0.946763,0.369664,1.6038,-0.53471
p3683,-1.10307,0.292268,-0.446692,0.402326,-1.14979,-0.876117,0.0467554,-2.14947
p3684,0.825023,1.96321,0.317136,2.00427,-1.51303,2.09027,1.72318,0.258856
p3685,-1.86609,0.0191403,-0.259762,0.417487,0.710167,-0.674144,-0.217803,-0.337991
p3686,-0.910063,0.684224,-0.240444,0.362484,-0.998622,0.252164,-0.0906243,-0.180671
p3687,0.369948,-0.531204,-0.472786,0.235524,0.351184,-0.662402,0.222776,0.00990043
p3688,1.30089,-1.2435,0.172346,0.276165,-0.0856028,-0.378231,0.245798,-0.873656
p3689,0.0721209,0.674894,-0.868672,1.39771,-2.75009,-2.92154,-1.38534,-2.05133
p369,0.519511,0.271635,-0.581255,-0.622207,-0.975017,0.642228,-0.831918,0.127612
p3690,-0.0578517,2.22761,-0.572414,1.00928,-1.12688,1.39233,0.572314,-0.417123
p3691,-1.21334,0.680878,-1.30563,-0.437248,0.225812,1.04916,-0.0577112,0.0668234
p3692,-0.338606,2.47745,1.12282,-0.625319,0.950364,-1.87283,5.64197,-2.20696
p3693,-0.299961,0.799123,0.164922,-1.074,0.0548968,1.45917,0.537648,2.36218
p3694,-0.158192,-0.436792,-0.557811,-0.387376,-0.926158,-0.255609,-0.207052,-1.67454
p3695,1.75697,1.08278,1.62356,0.594097,0.887538,-0.151144,-0.390405,-1.77415
p3696,-1.23671,1.64427,-0.599036,-0.740955,0.925877,-0.335279,2.26051,-0.333171
p3697,-0.113424,-0.00543722,-0.544294,-0.732703,0.161395,0.174491,-0.230113,1.06527
p3698,0.870796,0.556859,1.55691,-0.145042,-0.325824,4.9763,2.7681,0.932822
p3699,-0.30836,-0.164484,-0.208695,0.513629,-1.22288,-0.318612,-0.563189,-0.819299
p37,-0.11363,0.299525,-0.109641,0.256282,-0.886163,0.0628228,0.201178,-0.147312
p370,-0.763553,-0.0161594,-0.822014,0.485576,-0.921647,-0.13281,-0.318704,1.34488
p3700,-3.12174,-0.0293711,-0.205426,0.865337,-0.458956,-0.228039,0.423906,0.0404864
p3701,-1.64967,-0.339123,0.0873237,-0.267344,-0.24594,-0.088544,-0.0124531,0.712885
p3702,0.571222,-0.270347,-0.925069,0.258828,0.259394,0.576685,0.367395,-0.188416
p3703,-1.07462,-0.259312,-0.16703,-0.216246,-0.216619,0.229124,-0.0363826,0.319302
p3704,-1.29217,0.720799,-1.29261,0.111144,1.30006,0.0786011,0.513898,1.3878
p3705,-0.929423,0.0784025,-0.514712,-0.305126,0.282688,-0.27327,-0.0975568,-0.0735234
p3706,-0.0312269,-0.319044,-0.145205,-0.0770456,0.317594,0.471479,-1.2582,-0.252404
p3707,1.61686,-1.28149,1.15405,0.0497563,-0.0127845,0.349956,1.08058,0.565435
p3708,-0.823634,-0.826859,0.164159,0.0865841,-0.192396,0.591204,0.27701,-0.20356
p3709,-0.959177,-0.24839,0.261885,-0.0816598,-0.355002,0.00369565,-0.0996418,0.052491
p371,-0.283068,-0.202188,-0.319168,0.316464,0.611067,-0.18595,-0.542303,-0.515658
p3710,-0.66613,-0.647718,0.795423,0.581146,-0.860392,-0.371797,-0.827916,0.507043
p3711,-0.609695,0.846599,-1.18926,0.173807,-0.43406,1.04942,1.77079,0.301723
p3712,-0.809281,-0.903671,0.248368,0.0326181,0.196719,-0.193029,0.360308,0.0836215
p3713,0.415597,-0.872506,-0.0154616,-0.440372,-0.730234,-0.196606,-0.540148,-0.383136
p3714,-1.53742,-0.383799,0.169817,-0.226073,-0.57642,0.260417,-0.830395,0.499435
p3715,1.55029,0.532739,-0.798916,0.510295,-0.785236,0.974901,-0.85438,0.76231
p3716,-1.24809,-0.0868339,-0.657644,0.870013,0.427957,-0.804668,0.0545419,0.844133
p3717,-0.544216,-1.08817,0.352518,-0.45995,0.0018178,0.139308,-0.0560684,0.220542
p3718,-0.548613,0.44266,-1.50866,-0.244809,0.630767,-0.228679,0.0476755,0.254451
p3719,1.32575,-0.0278191,0.556435,-0.417728,-0.801373,0.272151,0.252303,0.490387
p372,-0.156513,0.250105,-0.860382,0.235619,0.0919339,-0.00360449,1.1723,0.912627
p3720,-1.43875,0.178891,-0.422897,0.00832391,-0.321688,-0.367936,0.944411,-0.892324
p3721,-0.496725,-0.318321,-0.297398,0.32615,0.193295,-0.176616,-0.410043,-0.408991
p3722,1.74377,0.690636,-0.917906,-0.222818,0.452113,2.39291,0.594862,0.460243
p3723,-2.32106,1.09836,0.451962,0.159588,0.525122,-1.90319,0.469978,0.525335
p3724,-1.79247,3.01002,4.74741,-3.8396,1.74983,-0.287296,-0.689831,-0.0184601
p3725,1.98281,1.1179,0.803576,1.26234,-1.67749,0.161411,2.90587,0.450285
p3726,1.46031,-0.843224,0.520551,-0.384618,0.998798,0.114213,0.252657,-0.486211
p3727,0.00384859,-0.445656,-0.2697,-0.123785,-0.313426,-0.165409,-0.120738,-0.384482
p3728,0.701718,-1.19384,0.0316811,-0.154515,-0.294609,0.539678,0.452099,0.322164
p3729,0.559193,2.34621,2.19064,5.20995,2.29985,2.88662,-4.45753,-0.237349
p373,0.568003,-0.6464,0.040109,1.00104,-0.873794,-0.576799,0.0992478,-0.558628
p3730,0.0810417,2.44712,-0.0167396,-0.0642583,-0.0848375,-0.000327937,-0.491264,0.876059
p3731,-0.0801933,-0.0113837,-0.372669,-0.204497,-1.1943,-0.564808,0.543393,-2.29752
p3732,-0.164569,0.143065,-0.450028,0.500229,0.791656,-0.0783728,-1.03611,-0.761562
p3733,-0.784365,1.59365,2.02339,-3.52875,-2.08966,0.624797,2.55166,-3.9731
p3734,1.09641,0.424836,-0.615752,0.242347,0.853932,0.0450359,-0.904197,1.36263
p3735,-0.701085,0.138517,-0.719146,-0.226322,0.284638,0.345414,-0.13598,0.859931
p3736,0.56555,2.87284,0.447397,0.0955314,-0.193604,3.1994,2.99967,0.583883
p3737,0.706167,0.318702,-1.12337,-0.913464,-0.47093,1.0495,0.700272,1.90272
p3738,-1.19609,0.336243,0.500368,0.0292893,-0.541157,0.074132,-0.18969,0.292999
p3739,1.43787,-0.764875,-0.174111,0.188206,-0.782302,0.369608,0.60894,-0.0244859
p374,1.00576,1.11334,1.30463,2.10899,-1.01801,2.96394,-0.906793,-0.35333
p3740,-1.49939,-0.428792,-0.303194,0.447798,0.441467,0.203577,0.0257549,-0.0610513
p3741,-0.766768,0.235509,0.419794,3.84062,1.21193,-2.64984,0.0169647,0.465809
p3742,-0.650216,1.11727,-1.47826,-0.454793,0.0710413,-0.244598,-0.252227,0.291041
p3743,1.24057,2.5591,-3.49047,-1.38291,-1.39686,0.733261,-1.63907,-0.5595
p3744,0.0544159,-0.946153,0.352736,-0.712406,0.482976,0.465304,-0.251568,1.17555
p3745,0.527082,0.445682,0.579079,-0.109534,-1.03913,1.64163,-0.118824,-1.27742
p3746,-1.03406,-0.165818,0.190153,0.893626,1.07602,-0.0715531,0.0739993,-0.363856
p3747,1.01754,1.55768,2.59924,6.992,5.06886,-2.99107,-3.17023,3.65255
p3748,0.831667,3.19251,1.85238,2.78034,-1.06255,4.53244,-2.37871,-1.49652
p3749,-0.18598,-0.13746,0.109851,2.37925,-2.2052,-3.28657,-0.387975,1.07883
p375,-0.442241,0.145756,-0.724909,-0.49966,-1.89993,-0.554676,-0.499131,-0.164365
p3750,0.800966,0.783924,2.91555,3.42332,0.526083,-0.581806,-1.76066,-0.684361
p3751,0.776871,0.346614,0.180693,5.30384,1.29824,-1.9823,2.90853,3.54841
p3752,0.213769,0.488283,-1.61421,-0.861722,-0.110089,-0.241058,-0.257113,1.39339
p3753,-0.595618,-0.286219,0.0296587,0.45581,-0.497155,-0.709375,-0.212298,-0.148949
p3754,0.335492,-0.771963,0.48579,-0.0285313,0.407779,-0.654482,0.0629352,0.0863582
p3755,0.227767,-0.227537,-0.545055,-0.0803016,-0.196583,-0.443447,-0.03316,0.979458
p3756,-0.393138,1.48298,2.94623,-1.18323,1.53387,1.41724,3.56128,-1.71133
p3757,-1.20805,-0.650285,0.0210199,-0.32752,-0.165306,-0.574059,0.181406,0.870728
p3758,0.84796,0.2074,-0.0677276,-0.908137,-0.498085,-1.85078,-0.108504,-0.619552
p3759,-1.47752,-0.556543,0.00685967,0.705993,0.190768,-0.180072,-0.160924,0.554637
p376,-0.159351,-0.369262,0.0295061,-0.515404,0.440311,-0.204221,0.418191,-0.593403
p3760,-0.559766,-0.392999,-0.465128,-0.021558,-0.152394,0.116194,0.166761,0.0456156
p3761,1.43431,-0.947577,-0.202405,-0.340908,0.399669,-0.201932,-0.0156467,-0.219334
p3762,-0.17687,0.1136,-0.716755,-0.343902,-0.654663,0.884767,0.295622,-0.59265
p3763,0.14886,-0.359068,0.245342,0.397529,-0.609534,-0.0734314,-0.741755,-0.947351
p3764,1.23393,0.0422247,-0.753832,-1.08292,-0.49272,1.40058,1.14362,-0.80577
p3765,0.783933,0.769738,-0.152109,1.62877,-0.239037,1.43576,0.18589,0.987261
p3766,0.649963,-1.05066,0.00113819,-0.211477,-0.118514,-0.077494,-0.331385,-0.597238
p3767,-0.219865,-0.956893,0.11508,-0.185629,-0.0133084,0.288987,0.086715,0.721848
p3768,0.208956,-0.915279,0.530171,0.0302071,-0.884956,0.155881,-0.348707,0.62656
p3769,-0.460323,-0.763249,0.00863933,0.138899,-0.0380753,0.441767,-0.223461,0.634574
p377,-0.244497,2.92732,0.385908,-0.376217,0.760083,-0.544743,-2.46694,-5.31533
p3770,-0.132242,-0.251761,0.0335347,0.613429,0.262368,0.339842,1.27307,-0.249079
p3771,0.587432,-0.404641,-0.250306,0.417674,0.11806,-0.645708,0.441477,0.461131
p3772,0.599293,-0.741783,0.0063119,-0.145697,0.663013,0.479344,-0.884586,-0.228674
p3773,-0.0352243,1.70342,0.412199,0.758484,1.89641,0.383256,8.59541,2.22042
p3774,0.392032,-0.468113,-0.124874,0.205243,-0.79625,0.636193,0.792727,1.53558
p3775,-0.794699,-0.660299,0.15234,-0.00520549,-0.604834,-0.664811,-0.04426,-0.574595
p3776,1.11739,0.161796,-0.118362,-0.385478,-0.0832998,-0.381495,0.0523277,0.313262
p3777,0.870722,-0.573162,-0.0389217,-0.363004,-0.377401,-0.0675704,1.3893,0.0895282
p3778,1.00568,2.51133,1.33677,-2.63439,4.2851,0.759983,2.56875,-3.35571
p3779,1.03242,1.87625,-2.32087,-0.783923,-0.201423,0.755208,0.166706,0.385691
p378,-1.04333,-0.841175,0.231423,0.114131,-0.090404,0.309547,0.554138,-0.477546
p3780,0.546731,-0.826713,-0.032668,0.127402,-0.118544,0.473459,-0.0948047,-0.612134
p3781,1.29405,2.49859,-2.77147,3.50492,-1.02199,-3.79975,1.85855,-2.71728
p3782,-1.77662,-0.271558,-0.0166916,0.395814,-0.132346,-0.242045,-0.298847,0.478878
p3783,0.0887231,-0.196039,-0.022409,-0.160259,-0.960882,0.380133,-0.260527,-0.0142878
p3784,-0.704187,-0.625555,0.905169,-0.735526,0.355674,1.04696,-1.85686,0.0741869
p3785,0.239353,-0.582668,-0.198322,0.192225,-0.552073,0.203905,0.440261,-0.00600019
p3786,-0.291754,-0.811885,0.196035,0.00405068,0.310629,0.379113,-0.298181,-0.421437
p3787,-0.521672,1.70235,2.33285,-1.3141,1.02482,-1.6076,-2.48781,2.14947
p3788,-0.898773,-0.165808,0.498278,0.201102,-0.0321226,0.2168,-0.516293,0.557938
p3789,0.870796,-0.0738987,-0.0568088,0.463671,-0.398747,-0.90298,1.09703,0.248996
p379,0.496143,0.642996,-0.593512,-0.723215,-0.808197,1.13654,-0.609752,-0.235542
p3790,-0.846424,-0.515533,0.0734658,0.00922748,0.381723,-0.0648956,-1.00574,1.08327
p3791,-0.491636,0.107928,-0.217831,0.628649,-0.176864,-0.949228,0.592716,0.356389
p3792,1.09521,0.602277,-1.16668,-1.29721,-0.735796,0.213363,-1.67189,2.38996
p3793,0.226459,0.552389,-1.47502,-0.596354,0.721979,-0.845672,-0.282222,-0.174036
p3794,-1.1824,-0.438698,-0.146584,-0.168849,-0.385439,0.254129,-0.373143,-0.0144931
p3795,0.288802,-0.827539,0.410976,0.376627,-0.604577,-1.28804,0.359898,0.965563
p3796,-0.755033,-0.94999,0.066763,0.362047,-0.138686,-0.0135179,0.0592825,-0.264464
p3797,-2.31943,0.654251,0.0299529,0.262618,-0.708154,2.00308,1.87665,1.28382
p3798,-2.61839,0.744547,1.84004,0.183395,2.13305,2.05605,1.53208,-1.36475
p3799,-0.029517,0.354106,0.158193,0.630497,0.737711,-2.72269,1.31807,1.29129
p38,-0.528615,-0.513887,0.0938535,-0.113025,-0.899984,-0.0540079,-0.113194,0.72864
p380,-0.919674,-0.370164,0.337892,0.966605,-0.416386,-0.104146,0.145661,0.862097
p3800,-0.110587,1.58591,-2.26408,0.494249,-1.51713,0.0841128,0.764668,-0.0528242
p3801,0.240703,-0.910208,-0.0198871,-0.436387,-0.277377,-0.0143042,-0.0540216,1.34825
p3802,0.0998204,0.980688,-0.545602,-1.13824,0.041728,1.07612,0.304696,3.60085
p3803,1.00424,-0.533672,-0.301323,-0.694603,0.330423,-0.254241,-0.443346,0.977606
p3804,1.22937,-0.875489,0.553605,-0.0735209,0.494157,0.522554,0.51203,0.352749
p3805,0.704711,0.595863,1.55049,0.789433,-1.27479,1.26775,-0.108571,2.87667
p3806,-0.565521,-0.672154,0.338908,-0.249661,-0.330228,0.427508,0.414013,0.688171
p3807,-0.083188,-0.919812,0.420285,-0.277274,-0.398557,-0.369253,0.122092,-0.982042
p3808,-1.47552,2.92801,5.2115,-4.3746,1.53074,1.96202,-0.152002,0.14162
p3809,0.660014,-1.06556,0.570125,-0.151504,-0.535147,0.821127,0.193644,0.392822
p381,0.332112,1.59428,3.08702,-2.65914,0.840365,0.481272,0.33664,0.753626
p3810,0.47039,0.584584,1.09243,0.44245,-3.64128,-0.481032,-0.974215,0.688177
